,source,english_sentence,hindi_sentence,translated_base
117636,indic2012,"On June 2008 You Tube launched a beta test where a “”note“” was displayed or link a video, can give permission to oin annotation information, for example a story with a lot of possibilities (for the next clip, click on view) and",जून २००८ में यू ट्यूब ने एक बेटा टेस्ट (beta test) लॉन्च किया जो नोट को डिसप्ले कर सकता है या एक विडियो में लिंक कर सकता है अन्नातोशन सूचना को जुड़ने के लिए अनुमति देता है उदहारण के लिए बहुत सी संभावनाओ के साथ कहानिया (आगले दृश्य के चयन लिए दर्शक क्लिक करे)और,"In June 2008, YouTube launched a beta test (beta test), which can display the notes or stories to be linked to a video allows you to connect to Annatoshn notice many possibilities, for example (that follow Click viewer to select the scene) and"
20616,tides,"Normally , at about 2 to 2 1/2 years , there are two permanent incisors .",सामान्यत : दो ढाई वर्ष की उम्र में दो स्थायी छेदक दांत होते हैं .,"Generally, there are two and a half years of two permanent incisor teeth in age."
44366,indic2012,Public solar light system,सार्वजनिक सौर प्रकाश प्रणाली,Public Solar Lighting System
120744,indic2012,In India 64.9% people are literate among this 85.3% men and 53.8% women.,भारत में ६४.८ प्रतिशत साक्षरता है जिसमे से ७५.३ % पुरुष और ५३.७% स्त्रियाँ साक्षर है।,"A 64.8 percent literacy in India, of which 75.3% men and 53.7% women literate."
61937,ted,from analog to digital.,एनालॉग से डिजिटल में।,From analog to digital.
14723,ted,Talk about getting by with nothing. (Laughter),खाली हाथ निकलने के बारे में कहिए (हंसते हैं)।,Empty ask about getting hands (laughs).
65113,ted,"And this is the United States moving away here, earning more money.","और ये है अमरीका, दूर जाते हुए, और पैसे कमाते हुए।","And this is the USA, earning go away, and money."
20054,tides,It is no easy matter to live down the prejudice of generations past and to make our people to look upon the effort as their own .,"जो पूर्वाग्रह पीढ़ियों से चले आ रहे हैं , उन्हें दूर करना और जनता को इसे अपना काम समझने के लिए तैयार करना आसान नहीं है .","Who are standing bias generations, to them and to the public it is not easy to put together in order to understand their work."
117874,tides,Every good manager knows that criticism and faultfinding by itself is often useless unless it is also accompanied by praise and appreciation for the right things .,प्रतऋद्दयेक कुशल प्रबंधक जानता है कि आलोचना और मीनमेख निकालना अकऋद्दसर बेकार सिद्ध होगा यदि इसके साथ साथ सही बातों की प्रशंसा और कदर न की जाये .,Prathriddyek skilled manager knows that to be criticized and Minmek remove Akhriddsr will prove useless if the appreciation of the right things with it and so not.
123571,indic2012,. People prepare variety of sweetmeats at home on this day.,इस दिन घरों में सुबह से ही तरह-तरह के पकवान बनाए जाते हैं।,Morning in the day houses are made from a variety of dishes.
120273,ted,"These are the people that you have access to right now, in general -",सरल अर्थों में आप इन सभी व्यक्तियों से संपर्क साध सकते हैं -,"In simple terms, you can keep in touch with all these people -"
89381,tides,"Ask for one from your clinic or hospital , order one from the NHS Responseline -LRB- 08701 555 455 -RRB- or read it on the web site","यह एक पर्चा आप क्लिनिक , हस्पतल , ण्Hश् षेस्पोन्सेलिने ( 08701 555 455 ) से मँगवा के या वेब साइट से पढ सकते","It&#39;s a form you can go through the ordering or Web site clinic, the hospital, N H academic Sesponseline (08701 555 455)"
117182,ted,This is a call,यह पुकार है,It is called
41172,ted,back in 2005.,२००५ में।,In 2005.
98561,ted,which made it so light,जिसने इस इतना हल्का बना दिया कि,Making it light enough
46793,indic2012,This was made in 1659 by the Aurangzeb and it was his personal mosque.,यह सन् 1659 में बाद में बनाई गई थी जो औरंगजे़ब की निजी मस्जिद थी।,It was the private mosque was built went later in the year 1659 which Aurangzeb.
105211,tides,"While the adhishthana offsets at the four corners are square and carry smaller two-storeyed vimanas of square plan with four-sided kuta sikhams , those on the four sides are oblong and carry smaller dvitala vimanas of the oblong plan , with sala sikharas on the south , west and north .","जबकि चारों कोनों पर अधिषऋ-ऊण्श्छ्ष्-ठान की प्रशाखाएं वर्गाकार हैं और वहां चतुर्भुज कूट शिखरों सहित वर्गाकार आयोजनों के द्वितल विमान अवसऋ-ऊण्श्छ्ष्-थित हैं , चारों दिशाओं में सऋ-ऊण्श्छ्ष्-थित छोटे द्वितल विमान आयताकार आयोजना युकऋ-ऊण्श्छ्ष्-त हैं और दक्षिण , पशऋ-ऊण्श्छ्ष्-चिम और उ<ar maoM Xaalaa iSa#araoM sao yauk ? \भाष्; t hOM .","While all four corners Adishri-Unshrcrsh-determined and sub square and the quadrilateral code dihedral square events, including summits aircraft Avshri-Unshrcrsh-position, the four directions Shri-Unshrcrsh-position small dihedral plane rectangular plan Yukhri-Unshrcrsh-be South, Pshri-Unshrcrsh-Chim and A. <ar maoM Xaalaa iSa#araoM sao yauk ? \भाष्; t hOM ."
70966,tides,These things would take too long and require too much work .,इनमें समय लगता है और मेहनत भी करनी पड़ेती है .,Which takes time and effort Pdeti have to.
125750,indic2012,.Terrorism - keeping a watch on politics.,कूटनीति पर नज़र रखने में - आतंकवाद,Track diplomacy - terrorism
55798,ted,I know some people who say,मैं कुछ लोगों को जानती हूँ जो कहते हैं,I know some people who say
109172,indic2012,"Against the traditions of his ancestors, he married to several Hindu princesses.",उसने अपने पूर्वजो से विपरीत कई हिंदू राजकुमारियों से शादी की।,He married several Hindu princesses unlike their ancestors.
105533,tides,"The body can be viewed after the organs have been removed , and the funeral need not be delayed in any way .",अवयव निकालने के बाद शरीर का दर्शन किया जा सकता है और अंतिम क्रिया में किसी भी तरह की देरी नहीं होती .,After removing the contents can be seen in the body and the funeral need not be delayed in any way.
106551,indic2012,"You the councli said - be cautious, very soon a civil war may take shape.I said - What will be means of avoiding this civil war.",आप (सल्ल.) ने फरमाया- ‎खबरदार रहो निकट ही एक बड़ा फ़ितना सर उठाएगा मैंने अर्ज़ किया- इस ‎फ़ितने से निजात का क्या साधन होगा?,You (replied.) Near the Beware Frmaya- only take a big Fitna Sir I would means of correcting this Fitne did arz?
98591,tides,The adoption of a democratic constitution made a change in the official language inevitable .,प्रजांतात्रिक Zसविंधान लागू करने से राजकीय भाषा में Zपरिवर्तन अनिवार्य हो गया .,Prjantatrik Z constitution was essentially Z changes in official language implementation.
40959,tides,After a while the goddesses decided to divide the paternal property and migrate to different spots .,कालांतर में ऊन देवियों में पृथक-पृथक स्थानों पर जा बसने का प्रश्न उठा.सभी ने पैतृक संपत्ति की बांट कर मंतव्य स्थानों की और र्पस्थान करने का संकल्प किया .,The question of separate-settling going on isolated places in wool Ladies eventually Utaksbi be resolved to the intended locations share of ancestral property and Rpsthan.
113,tides,In Burma and Ceylon she intends to hold on as long as she can .,"बर्मा और सीलोन पर वह जब तक हो सकता हैं , अपना कब्जा बनाये रखना चाहता","On Burma and Ceylon he could until, want to maintain their hold"
50694,tides,"Although introduced with the best of intentions , this remedy of enforcement of fundamental and other rights has become a much misused one .",मूल तथा अन्य अधिकारों के प्रवर्त्तन के लिए यह उपचार यद्यपि बड़े सदाशय से लाया गया था किंतु इसका काफी दुरुपयोग हो रहा है .,"The original and enforcement of other rights it was brought to treatment although large generous, but it is much abuse."
34639,indic2012,"India : 0,5",भारत : ० ५,India: 0 5
16287,tides,The birds are generally sold when four years old .,चार वर्ष की हो जाने पर इन बतखों को प्राय : बेच दिया जाता है .,These will be four ducks are often sold.
65965,ted,"by the anti-Vietnam movement, the Civil Rights movement.","वियतनाम-खिलाफ़त आंदोलन से, नागरिक अधिकारों के लिये आंदोलन से।","Vietnam-opposition movement, the movement for civil rights."
77950,tides,Gilbert Murray 's Translation . -RSB- Jawaharlal Nehru : I will not take part in the trial but will informally help the prosecution in elucidating any points on which it wants to base its case .,"गिलऋ-ऊण्श्छ्ष्-वर्ट मरे के अंग्रेजी अनुवाद का हिंदी अनुवादहृ मुकदमा जवाहरलाल नेहरू ः मैं इस मुकदमें में हिसऋ-ऊण्श्छ्ष्-सा नहीं लूंगा , बलऋ-ऊण्श्छ्ष्-कि अनऋपचारिक तरीके से उन मुद्दों का खुलासा करने में प्रासीकऋ-ऊण्श्छ्ष्-यूशन की मदद करूंगा , ऋनको लेकर वह यह केस बनाना","Gilhri-Unshrcrsh-Vert Hindi Anuwadhri English translation Murray lawsuit Jawaharlal Nehru level I will not Hishri-Unshrcrsh Which in this case, Blhri-Unshrcrsh-that Anhripcharik manner will help to expose those issues Prasikhri-Unshrcrsh-resolution , Hrinko about it to make it case"
27914,tides,These fundamental rights substantially cover all the traditional civil and political rights enumerated in articles 2 to 21 of the Universal Declaration .,इन मूल अधिकारों में काफी हद तक वे सभी पारंपरिक नागरिक तथा राजनीतिक1 अधिकार आ गए हैं जो सार्वभौम घोषणा के अनुच्छेद 2 से 21 में निर्दिष्ट हैं .,These largely fundamental rights as they are referred to in all the traditional civil and Articles of the political 1 rights Universal Declaration 2 21.
35941,tides,"As the whole purpose of industrial progress is to produce the maximum means for material comfort , their opposition to industrialisation is understandable .","चूंकि औद्यौगिक प्रगति का पूरा उद्देश्य भौतिक आराम के लिए अधिकतकम साधन उत्पन्न करना है , अत : उनका औद्यौगिकरण का विरोध समझ में आने योग़्य है .","Since the whole purpose of industrial development to generate Adiktkm instrument for physical rest, so they Yoghy understandable opposed Awdyugikarn."
110901,indic2012,"In his(/her) memory, a big statue has been built.",उनकी याद में एक बड़ि मूर्ति यहां स्थापित है।,A Bri statue in his memory is installed here.
12560,tides,"As a result , they tend to increase the distance of the reading material .","परिणास्वरूप , वे पढ़ने की वस्तु को दूरी पर रखकर पढ़ते हैं .","As a result, they are read by the distance to the object of reading."
122419,indic2012,this is main goal of islam.,यह इस्लाम का सबसे प्रमुख सिद्धांत है।,This is the core principle of Islam.
22836,tides,"Last week , underworld don Chhota Rajan was brought to the Southern Bangkok Criminal Court in Thailand to help Thai police identify the suspects in the attempt on his life and the murder of Rohit Verma on September 14 .","पिछले हते अपराध जगत के सरगना छोटा राजन को थाईलौंड़ की दक्षिणी बैंकॉक की एक अदालत में पेश किया गया , ताकि वह उन व्यैक्तयों की पहचान करने में थाई पुलिस की मदद कर सके जिन पर 14 सितंबर को उसकी जान लेने के प्रयास के अलवा उसके सहयोगी रोहित वर्मा की हत्या का संदेह है .","Last week underworld was presented in a court of gangster Southern Bangkok Thailund the Chhota Rajan, so she Beyond attempting to take his life on September 14, which could help the Thai police to identify those Wyaktyon his partner Rohit Verma is suspected of murder."
87401,ted,"Now, the animal mind, and also my mind","अब, पशुओ के दिमाग और मेरे भी दिमाग","Now, the animal mind and my mind"
35840,tides,But against that must be set the savings to the nation .,लेकिन इसके साथ राष्ट्रीय बचत भी आवश्यक है .,But national savings is also required.
39658,ted,in a flat closed-off parking lot -,सपाट और सीमित गाड़ी रखने के जगह पर,Flat and place to limit car
119363,indic2012,"1. Because of this petition / writ, awareness of the public about their own rights and about the role of judiciary increases, this makes the area of fundamental rights very strong, the individual gets many new rights",1. इस याचिका से जनता मे स्वयं के अधिकारों तथा न्यायपालिका की भूमिका के बारे मे चेतना बढती है यह मौलिक अधिकारों के क्षेत्र को वृहद बनाती है इसमे व्यक्ति को कई नये अधिकार मिल जाते है,1. About the role of rights themselves in public petition and judicial consciousness grows it makes a larger area of fundamental rights involves a person is going to get many new rights
109034,tides,In 1635 A.D . Ferozshah Tughlak attacked Kangra .,1635 ई . में ZZफिरोजशाह तुगलक ने कांगड़ा पर आक्रमण किया था .,1635 AD. The ZZ Feroz Shah Tughlaq invaded Kangra.
32836,indic2012,important informer,वाह्य सूत्र,External Sources
121482,tides,"If you 're not up to walking , you 're free to borrow any of the 130 Hercules MTX bicycles parked on the campus .",पैदल चलने का मन नहीं हो रहा हो तो परिसर में खड़ी 130 हरक्युलिस एमटीएकंस साइकिलं में से कोई भी साइकिल ले सकते हैं .,"Are not up to walking, then parked on the campus can take a bicycle from 130 Hercules Mtiakans Saikiln."
106808,ted,from causing the pathology quite so soon.,इतनी जल्दी बीमारी पैदा करने से रोकने का.,So stop generating early disease.
106227,ted,and Bill Clinton.,और बिल क्लिंटन हैं |,And Bill Clinton |
7983,indic2012,series:uttar pradesh,श्रेणी:उत्तर प्रदेश,Category: UP
29641,tides,"Unaccustomed and strenuous exercise may be risky but the damage is usually to muscle , ligaments and joints rather than to the heart . However , in those not used to exercise , a medical check-up including an ' Exercise ECG ' over the age of 35 to 40 years is recommended . In those with health problems , a medical check-up is always advised .","अनाभ्यस्त और कठोर व्यायाम खतरनाक हो सकते है.लेकिन आमतौर से क्षति पेशियों , तंतुओं और जोड़ों को पहुंचती है , हृदय को नहीं.तथापि जो लोग व्यायाम करने के अभ्यस्त नहीं होते , उन्हें 35 से 40 वर्ष की आयु से ऊपर ' व्यायाम ई सी जी ' के साथ चिकित्सीय जांच की सलाह दी जाती है .","Anabyst and rigorous exercise can be dangerous but sometimes damage muscles, causes the fibers and joints, heart are not accustomed to Nhinktthapi those who exercise them 35 over the age of 40 years&#39; exercise ECG with &quot;advised the medical examination."
93158,tides,What the Governor had suggested was an important advisory body .,गवर्नर ने ऋसका सुझाव दिया था वह थी एक महतऋ-ऊण्श्छ्ष्-वपूर्ण परामर्श समिति .,Governor he had Hriska suggested a Mhthri-Unshrcrsh-not important advisory committee.
65790,tides,"Basically a man of faith , his faith was brave and true , for it had been tested in the fire of suffering .",साधारणतया जो मनुष्य आस्थावादी है उसका विश्वास दृढ़ एवं सच्चा होता है क्योंकि वह पीड़ा की आग में तपा होता है .,Normally that is strong and true faith man believing he is seasoned in the fires of suffering.
37311,tides,Health care professionals should welcome your views and discuss any issues so they can work in partnership with you for the best outcome .,आरोग्य विषयक तञों को आप के दृष्टिकोन का स्वागत करना चाहिए और आप से कुछ मुद्दों के बारे में विचार-विमर्श करना चाहिए जिस से कि वह आप के साथ साझेगिरी में अच्छे नतीजों के लिए काम कर सकते हैं .,Health care professionals should welcome your views and to whom should discuss about some of the issues that he can work for the best results in partnership with you.
15541,tides,"It seems ironical that though trying eternally to keep its body clean , the housefly should continually contaminate human food ; for this man himself is partly responsible .",यह विडंबनापूर्ण लगता हे कि जो मक़्खी अपने शरीर को सदा साफ रखने के प्रयास में जुटी रहती है वही मानव खाद्य पदार्थों को लगातार संदूषित करती हो .,It seems ironic is that Mkhrki remains involved in an effort to keep your body always clear that he continually contaminate human foods.
3131,ted,all of these characteristics in spades.,इन सभी विशेशताओं के काफी समान है.,All these features are quite similar.
11249,ted,"That bigness should be centered on oneself,",विशाल हृदयता हमारे इर्द गिर्द केन्द्रित होनी चाहिए,Huge Hridayta should be centered around our
67762,tides,The Krishna-Nappinnai theme is special to the earlier and contemporary Tamil literature and tradition .,कृष्ण नप्पिन्नै विषय आरंभिक और समकालीन तमिल साहित्य एवं परंपरा में विशिष्ट स्थान रखता है .,Krishna Nppinna theme has a unique place in early and contemporary Tamil literature and tradition.
34425,tides,"The charge against the accused was that they “ between the Christian years of 1905 and 1910 , both inclusive at Sibpur , in the district of Howrah and at other places in British India , did conspire with one another and with other persons . . . to wage war against His Majesty the King-Emperor and deprive the King-Emperor of the sovereignty of British India and to overawe by means of criminal force the Government of India by law established and thereby committed an offence punishable under Section 121 -A of the Indian Penal Code . ”","अभियुकऋ-ऊण्श्छ्ष्-तों पर यह आरोप लगाया गया था , ऋऋसन 1905 तथा 1910 के बीच इन लोगों ने आपस में तथा अनऋ-ऊण्श्छ्ष्-य लोगों के साथ मिलकर यह षड्यंत्र किया कि भारत ऋसम्राट के विरूद्व युद्व किया जाए तथा भारर्तसम्राट को उनके आधिपतऋ-ऊण्श्छ्ष्-य ये चऋ-ऊण्श्छ्ष्-युत किया जाए और इस प्रकार इंडियन पेनल कोड की धारा 121-ए के अंतर्गत इनऋ-ऊण्श्छ्ष्-होनें ऐसा अपराध किया है जो सजा के योगऋ-ऊण्श्छ्ष्-य था .","Abhiyukhri-Unshrcrsh-es it was alleged, Hrihrisn these people together between 1905 and 1910 and Anhri-Unshrcrsh-if it did conspire together with the people of India should be war against the Hrisamrat and Barrtsamrat their Adipthri- Unshrcrsh-of these Chri-Unshrcrsh-power should be and thus the Indian Penal code Section was Inhri-Unshrcrsh-Honen so Yoghri-Unshrcrsh-of punishment which is an offense under the 121-a."
78110,ted,"and the expectation of below-market returns,","और ये स्वीकार करें कि हमें बाज़ार-भाव से कम मुनाफ़ा होगा,","And to accept that lower profits us market price,"
27520,ted,Let us celebrate diversity.,विविधता का सम्मान करें।,Respect diversity.
75333,tides,"The Individual Disobedience Movement When Gandhiji , afer his return protested to Willingdon , he was met by an adamant attitude .",व्यक्तिगत अवज्ञा आंदोलन लौटने के बाद जब गांधीजी ने विलिंग्डन से विरोध किया तो उन्होंने उनके साथ हठधर्मिता का रूख अपनाया .,After returning individual disobedience when Gandhiji opposed Willingdon adopted approach of dogma with them.
19616,ted,"I built these little pin cushions when I was 11 years old in cubs,","११ साल की उम्र में मैने पिन रखने के लिये तकिया बनाया,","11 years old, I made a pillow for the pin,"
57167,tides,Along with mystical experience as the basis of religion he greatly emphasised moral action .,"धर्म के रूप में रहस्यमय अनुभूतियों के साथ , उन्होनें नैतिक कार्यो पर बहुत जोर दिया .","As religion with mystical experiences, he placed great emphasis on moral works."
28191,tides,"Without Mamata 's help in West Bengal , the Congress is unlikely to get more than a handful of its 52 MLAs re-elected .",पश्चिम बंगाल में ममता की मदद के बिना ऐसा नहीं लगता कि कांग्रेस अपने 52 विधायकों में से दर्जन भर से ज्यादा को फिर से जितवा पाएगी .,"In West Bengal, not without affection helped that Congress is unlikely to get back to more than a dozen of its 52 members."
115781,tides,"The advocates of reform wanted every individual , irrespective of sex , caste , or class , to be given full opportunity for self-development and self-expression .","सुधार की वकालत करने वाले चाहते Zथे कि लिंग , जाति या वर्ग संबधी बिना किसी भेदभाव के प्रत्येक व्यक़्ति को आत्म विकास तथा अभिव्यक़्ति का पूरा अवसर मिले .","Want to advocate reforms Z gender, each Wykhti caste or class-related, without any discrimination at the full opportunity of self-development and Abhiwykhti."
118498,tides,"They learn about reading through their writing , having to think about the sound and how words look .",शब्द कैसे दिखते है और उन के उच्चारण के बारे में सोचते हुए वे अपनी लिखाई के माध्यम से पढ़ाई के विषय में सीखते हैं .,How words look and thinking about how those they learn about reading through their writing.
70867,tides,"Everyone seems pleased with the arrangement , and the Grow More Food scheme is now being implemented on vacated stretches with a passion that would have pleased the conceptualisers of the scheme in the 1960s .",हर कोई इस व्यवस्था से खुश लगता है और अब ' अधिक अन्न उपजाओ योजना ' को खाली कराई गई जगहों पर इतने जतन के साथ लगू किया जा रहा है कि 1960 के दशक में इसकी कल्पना करने वाले इसे देखकर खुश हो जाते .,Everyone seems happy with this arrangement and More Food Upjao scheme are happy to see it to it in the blank provided went places on being in place in the so saved the 1960s.
6894,ted,in the past have helped create new economic forms.,इतिहास में नयी अर्थ-व्यवस्थाओं को जन्म दिया है।,Has given rise to new economies in history.
64155,tides,Says Surat Police Commissioner V.K . Gupta : “ We are forwarding the details of SIMI 's US connection to the Union Government to be passed on to the FBI for further investigation in the US . ”,"सूरत के पुलिस आयुकंत वी.के.गुप्ता कहते हैं , ' ' हम सिमी के अमेरिकी संबंधों की जानकारी केंद्र को भेज रहे हैं ताकि वह जांच के लिए एफबीआइ को सूचना दे सके . ' '","Appearance say police Ayukant VKGupta, &#39;so we are sending the information center of American relations Simi he informed the FBI to investigate. &#39;&#39;"
29453,indic2012,Mr. Rakesh Sharma was sent in space in 1984 on a Soviet spacecraft.,राकेश शर्मा ने १९८४ में सोवियत अंतरिक्ष यान में एक उड़ान भरी थी।,Rakesh Sharma who flew in Soviet spacecraft in 1 9 84.
84667,indic2012,"In 1990 , after the start of the Motorola Micro TAC , all mobile phone jacket pocket to take were big, so they were usually used as vehicles car phones. Digital components, miniature and more sophisticated With the development of batteries, mobile phones have become smaller and lighter.",1990 के दशक के शुरू में मोटोरोला मिक्रोTAC की शुरूआत के बाद सभी मोबाइल फोन जैकेट जेब में ले जाने के लिए बड़े थे इसलिए वे आम तौर पर वाहनों में कार फोन के रूप में स्थापित किए गए.डिजिटल घटकों के लघुरूप और अधिक परिष्कृत बैटरी के विकास के साथ मोबाइल फोन छोटे और हलके हो गए.,"Since the introduction of the Motorola Micro TAC in the early 1990s, all mobile phone jackets were the big move in the pocket, so they are usually installed as car phones in vehicles Ga.dijitl components of Abbreviations and more sophisticated battery development mobile phones have become smaller and lighter as well."
2747,indic2012,there more importance given to soul deserved rather than soul thinking,इसमें आत्म-चिंतन की अपेक्षा आत्म-समर्पण का महत्व है।,The importance of the expected surrender of self-contemplation.
126728,indic2012,. Search of truth.,सत्य की खोज,Searching For The Truth
74291,tides,He then seats himself at the head and explains to the spirit how it must leave the dead body .,लामा मृतक के सिर की और बैठकर मंत्र पढ़ता उसकी आत्मा को बाहर जाने का मार्ग दिखाता है .,Lama reads the head of the deceased and sit spells shows exit his soul.
40269,tides,Usually anyone who can write his name is considered literate .,"आम तौर पर जो व्यैक्त अपना नाम लिख सकता है , उसे साक्षर माना जाता है .","Usually that someone could write their name, are considered literate."
119031,ted,So they went for plan B.,तो उन्होनें दूसरी ही योजना बनाई।,So they made a different plan.
54524,tides,"However , there is an exception with regard to :",इसके अपवाद निम्नलिखित हैं :,The exceptions are as follows:
107773,tides,Elephant driving is an art .,हाथी को हांकना एक कला है .,Elephant Hankna is an art.
97176,tides,Orissa is a state where the disaster industry not only thrives but acquires international dimensions .,"यह ऐसा राज्य है जहां संकट के दौरान धंधेबाजों की न सिर्फ पांचों उंगलियां घी में हो जाती हैं , बल्कि उन्हें अंतरराष्ट्रीय आयाम भी मिल जाता है .","This is a state where not only the five fingers of PEDDLERS during the crisis are in oil, but also to get them international dimension."
60409,tides,"The All India Radio is one of the most important means of communications between the local administration and the people at Port Blair , a task which it has been performing exceedingly well .","आकाशवाणी पोर्ट ब्लेयर स्थानीय प्रशासन व द्वीपों की जनता के बीच सूचना प्रसारण का सबसे महत्वपूर्ण माध्यम है , इस काम को वह पूरे उत्तरदायित्व के साथ निभा रहा है .","AIR Port Blair is the most important means of transmitting information between the public authorities and the islands, playing this work with the entire responsibility."
78805,ted,How should we really honor Feynman?,सच में उनका आदर सम्मान कैसे करें?,How to really respect the honor?
106183,tides,There are quite a large number of Malayalees living here .,मलयालम लोगों की बहुत बड़ी संख्या है .,The very large number of Malayalam ones.
88244,ted,"And then she would take a little bit of the crackers,","और फिर वो थोडे से बिस्कुट लेती थी,","And then she was taking biscuits from a short,"
98889,indic2012,Hindi poet,हिन्दी कवि,Hindi poet
83822,tides,Membership in the Unicode Consortium is open to organizations and individuals anywhere in the world who support the Unicode Standard and wish to assist in its extension and implementation .,"यूनिकोड कन्सॉर्शियम में सदस्यता , विश्व में कहीं भी स्थित उन संगठनों और व्यक्तियों के लिए खुली है जो यूनिकोड का समर्थन करते हैं और जो इसके विस्तार और कार्यान्वयन में सहायता करना चाहते हैं .",Membership in the Unicode Consortium is open to organizations and individuals anywhere in the world who support the Unicode Standard and wish to assist in its extension and implementation.
49434,ted,"However, these are just the tip of the iceberg.","लेकिन, यह केवल एक अंश मात्र है |","However, it is only a fraction |"
6573,tides,"Factors increasing the chance of thrombosis are rhythm disturbances , a sluggish blood flow , tobacco smoking , stress and contraceptive pills when taken by women who smoke .","स्पंदनलय में गड़बड़ी , धीमा रक़्त प्रवाह , धूम्रपान , तनाव , धूम्रपान करने वाली महिला द्वारा गर्भनिरोधक गोलियां खाना आदि थ्रांबोसिस की संभावनाओं को बढ़ा देते हैं .","Manipulation Spandnly, slow Rkht flow, smoking, stress, smoking woman by birth control pills food etc increase chances of Thrambosis."
17232,indic2012,The episodes of Mahabharata,महाभारत के पर्व,Mahabharata Gala
89459,tides,"Also , with the exception of the Half-an-hour Discussion , under the question procedure discussions cannot be allowed .","प्रश्नों की प्रक्रिया ऐसी है कि सिवाय आधे घंटे की चर्चा के , उन पर विस्तृत चर्चा करने की अनुमति नहीं दी जा सकती .","Questions of procedure such that except half an hour of discussion, may not be allowed to be discussed in detail on them."
70989,indic2012,"This seems that Quran was descended especially for Arabian but whenever you reach to the place where one can feel as if this sentence is especially for special time or country, then stay for a while and think or note the things and then you think about it then you will realise that people from all decade and from every land place is same and on them same thing is applicable which was applicable to Arabian from that time.",सरसरी तौर पर यही लगता है ‎कि क़ुरान उस समय के अरबों के लिए ही अवतरित किया गया था किन्तु ‎आप जब भी किसी ऐसे स्थान पर पहुंचें जब यह लगे कि यह बात केवल ‎एक विशेष काल तथा देश के लिए है तब वहां रूक कर विचार करें या इसे ‎नोट करके बाद में इस पर विचार करें तो आप को हर बार लगेगा कि ‎मनुष्य हर युग और हर भू भाग का एक है और उस पर वह बात ठीक वैसी ‎ही लागू होती है जैसी उस समय के अरबों पर लागू होती थी।,"Superficially, it seems that the Quran was revealed for the Arabs at that time, but you can stop it whenever you arrive at a location when it thinks that it is only for a specific period and country opinion or consider it later to note that you will every time that man is an every era and every terrain and that she is OK with the same force as applied to the Arabs at that time was."
15436,tides,Infections with malignant tertiary malaria are reported to be less severe in the heterozygotes -LRB- Tt -RRB- than those with the normal homozygotes -LRB- tt -RRB- .,विषम युग़्मज ( ठ्ट् ) में सम युग़्मज ( ट्ट् ) की अपेक्षा विषाणु तृतीयक मलेरिया का प्रकोप होने की संभावना क्षीण रहती है .,Odd Yughmj (Tt) in overall Yughmj (Tt) than virus remains low probability of an outbreak of tertiary malaria.
94275,indic2012,Eastern division of Rajasthan has been always fertile.,राजस्थान का पूर्वी सम्भाग शुरु से ही उपजाऊ रहा है।,Rajasthan is fertile starting Eastern Division.
32017,tides,On the third day he eats nothing except what by chance is given him without his asking for it .,तीसरे दिन वह उसके अलावा कुछ नहीं खाता जो संयोग से और उसके मांगे बिना उसे दे दिया गया हो .,The third day than some account was given him by chance and without him asking.
46067,ted,We have social areas inside the aircraft,विमान के अंदर सामाजिक क्षेत्र हो सकते हैं,Can be the social sector within the plane
47970,indic2012,"On returning back home Bharat told mother Kaikai he scolded his mother for her bad decision for sending ram to Wanwas(departed from kingdom), he completed his fathers death ceremony",वापस आने पर भरत ने अपनी माता कैकेयी की उसकी कुटिलता के लिये बहुत भर्तस्ना की और गुरुजनों के आज्ञानुसार दशरथ की अन्त्येष्टि क्रिया कर दिया।,On returning Brian&#39;s very Brtsna for his iniquity of his mother Kaikeyi and the funeral of Commanded Dasaratha of teachers.
39434,tides,"The Russian revolution , the upheavals in Germany and the present terrible war in Spain are simply a prelude to a devastating change in the future .","रूसी क्रांति , जर्मनी में उलट फेर और स्पेन में मौजूदा खौफनाक जंग भविष्य में होने वाले लंबे-चौड़े परिवर्तनों की ओर महज एक इशारा है .","Russian Revolution, perverse in Germany and the lengthy changes to existing creepy corrosion future in Spain is merely a gesture."
41818,ted,I tried to call deep on my courage.,मैंने पूरी हिम्मत से अपने अंदर की आवाज़ सुनने की कोशिश की ।,I tried listening to the sound of your courage.
46342,ted,"no, style is not the right word.",- नहीं इस्टाइल सही शब्द नहीं है -,- No Istail is not the right word -
110122,tides,"Although , in the beginning , they were started by individual capitalists , the factory system came to be adopted during the course of the 19th century .","यद्यपि , प्रारंभ में यह सब व्यक्तिगत पूंजीपतियों द्वारा शुरू किये गये थे , फैक़्ट्री व्यवस्था 19वीं शताब्दी में अपनायी गयी .","Although initially it was initiated by the individual capitalists, Fakhtri system adopted in the 19th century."
